column_000,column_001,column_002,column_003,column_004,column_005,column_006,column_007,column_008,column_009,column_010,column_011,column_012,column_013,column_014,column_015,column_016,column_017,column_018,column_019
140000266,value-14-1,value-14-2,value-14-3,value-14-4,140000271,value-14-6,value-14-7,value-14-8,value-14-9,140000276,value-14-11,value-14-12,value-14-13,value-14-14,140000281,value-14-16,value-14-17,value-14-18,value-14-19
150000285,value-15-1,value-15-2,value-15-3,value-15-4,150000290,value-15-6,value-15-7,value-15-8,value-15-9,150000295,value-15-11,value-15-12,value-15-13,value-15-14,150000300,value-15-16,value-15-17,value-15-18,value-15-19
160000304,value-16-1,value-16-2,value-16-3,value-16-4,160000309,value-16-6,value-16-7,value-16-8,value-16-9,160000314,value-16-11,value-16-12,value-16-13,value-16-14,160000319,value-16-16,value-16-17,value-16-18,value-16-19
170000323,value-17-1,value-17-2,value-17-3,value-17-4,170000328,value-17-6,value-17-7,value-17-8,value-17-9,170000333,value-17-11,value-17-12,value-17-13,value-17-14,170000338,value-17-16,value-17-17,value-17-18,value-17-19
180000342,value-18-1,value-18-2,value-18-3,value-18-4,180000347,value-18-6,value-18-7,value-18-8,value-18-9,180000352,value-18-11,value-18-12,value-18-13,value-18-14,180000357,value-18-16,value-18-17,value-18-18,value-18-19
190000361,value-19-1,value-19-2,value-19-3,value-19-4,190000366,value-19-6,value-19-7,value-19-8,value-19-9,190000371,value-19-11,value-19-12,value-19-13,value-19-14,190000376,value-19-16,value-19-17,value-19-18,value-19-19
200000380,value-20-1,value-20-2,value-20-3,value-20-4,200000385,value-20-6,value-20-7,value-20-8,value-20-9,200000390,value-20-11,value-20-12,value-20-13,value-20-14,200000395,value-20-16,value-20-17,value-20-18,value-20-19
210000399,value-21-1,value-21-2,value-21-3,value-21-4,210000404,value-21-6,value-21-7,value-21-8,value-21-9,210000409,value-21-11,value-21-12,value-21-13,value-21-14,210000414,value-21-16,value-21-17,value-21-18,value-21-19
220000418,value-22-1,value-22-2,value-22-3,value-22-4,220000423,value-22-6,value-22-7,value-22-8,value-22-9,220000428,value-22-11,value-22-12,value-22-13,value-22-14,220000433,value-22-16,value-22-17,value-22-18,value-22-19
230000437,value-23-1,value-23-2,value-23-3,value-23-4,230000442,value-23-6,value-23-7,value-23-8,value-23-9,230000447,value-23-11,value-23-12,value-23-13,value-23-14,230000452,value-23-16,value-23-17,value-23-18,value-23-19
240000456,value-24-1,value-24-2,value-24-3,value-24-4,240000461,value-24-6,value-24-7,value-24-8,value-24-9,240000466,value-24-11,value-24-12,value-24-13,value-24-14,240000471,value-24-16,value-24-17,value-24-18,value-24-19
250000475,value-25-1,value-25-2,value-25-3,value-25-4,250000480,value-25-6,value-25-7,value-25-8,value-25-9,250000485,value-25-11,value-25-12,value-25-13,value-25-14,250000490,value-25-16,value-25-17,value-25-18,value-25-19
260000494,value-26-1,value-26-2,value-26-3,value-26-4,260000499,value-26-6,value-26-7,value-26-8,value-26-9,260000504,value-26-11,value-26-12,value-26-13,value-26-14,260000509,value-26-16,value-26-17,value-26-18,value-26-19
270000513,value-27-1,value-27-2,value-27-3,value-27-4,270000518,value-27-6,value-27-7,value-27-8,value-27-9,270000523,value-27-11,value-27-12,value-27-13,value-27-14,270000528,value-27-16,value-27-17,value-27-18,value-27-19
280000532,value-28-1,value-28-2,value-28-3,value-28-4,280000537,value-28-6,value-28-7,value-28-8,value-28-9,280000542,value-28-11,value-28-12,value-28-13,value-28-14,280000547,value-28-16,value-28-17,value-28-18,value-28-19
290000551,value-29-1,value-29-2,value-29-3,value-29-4,290000556,value-29-6,value-29-7,value-29-8,value-29-9,290000561,value-29-11,value-29-12,value-29-13,value-29-14,290000566,value-29-16,value-29-17,value-29-18,value-29-19
300000570,value-30-1,value-30-2,value-30-3,value-30-4,300000575,value-30-6,value-30-7,value-30-8,value-30-9,300000580,value-30-11,value-30-12,value-30-13,value-30-14,300000585,value-30-16,value-30-17,value-30-18,value-30-19
310000589,value-31-1,value-31-2,value-31-3,value-31-4,310000594,value-31-6,value-31-7,value-31-8,value-31-9,310000599,value-31-11,value-31-12,value-31-13,value-31-14,310000604,value-31-16,value-31-17,value-31-18,value-31-19
320000608,value-32-1,value-32-2,value-32-3,value-32-4,320000613,value-32-6,value-32-7,value-32-8,value-32-9,320000618,value-32-11,value-32-12,value-32-13,value-32-14,320000623,value-32-16,value-32-17,value-32-18,value-32-19
330000627,value-33-1,value-33-2,value-33-3,value-33-4,330000632,value-33-6,value-33-7,value-33-8,value-33-9,330000637,value-33-11,value-33-12,value-33-13,value-33-14,330000642,value-33-16,value-33-17,value-33-18,value-33-19
340000646,value-34-1,value-34-2,value-34-3,value-34-4,340000651,value-34-6,value-34-7,value-34-8,value-34-9,340000656,value-34-11,value-34-12,value-34-13,value-34-14,340000661,value-34-16,value-34-17,value-34-18,value-34-19
350000665,value-35-1,value-35-2,value-35-3,value-35-4,350000670,value-35-6,value-35-7,value-35-8,value-35-9,350000675,value-35-11,value-35-12,value-35-13,value-35-14,350000680,value-35-16,value-35-17,value-35-18,value-35-19
360000684,value-36-1,value-36-2,value-36-3,value-36-4,360000689,value-36-6,value-36-7,value-36-8,value-36-9,360000694,value-36-11,value-36-12,value-36-13,value-36-14,360000699,value-36-16,value-36-17,value-36-18,value-36-19
370000703,value-37-1,value-37-2,value-37-3,value-37-4,370000708,value-37-6,value-37-7,value-37-8,value-37-9,370000713,value-37-11,value-37-12,value-37-13,value-37-14,370000718,value-37-16,value-37-17,value-37-18,value-37-19
380000722,value-38-1,value-38-2,value-38-3,value-38-4,380000727,value-38-6,value-38-7,value-38-8,value-38-9,380000732,value-38-11,value-38-12,value-38-13,value-38-14,380000737,value-38-16,value-38-17,value-38-18,value-38-19
390000741,value-39-1,value-39-2,value-39-3,value-39-4,390000746,value-39-6,value-39-7,value-39-8,value-39-9,390000751,value-39-11,value-39-12,value-39-13,value-39-14,390000756,value-39-16,value-39-17,value-39-18,value-39-19
400000760,value-40-1,value-40-2,value-40-3,value-40-4,400000765,value-40-6,value-40-7,value-40-8,value-40-9,400000770,value-40-11,value-40-12,value-40-13,value-40-14,400000775,value-40-16,value-40-17,value-40-18,value-40-19
410000779,value-41-1,value-41-2,value-41-3,value-41-4,410000784,value-41-6,value-41-7,value-41-8,value-41-9,410000789,value-41-11,value-41-12,value-41-13,value-41-14,410000794,value-41-16,value-41-17,value-41-18,value-41-19
420000798,value-42-1,value-42-2,value-42-3,value-42-4,420000803,value-42-6,value-42-7,value-42-8,value-42-9,420000808,value-42-11,value-42-12,value-42-13,value-42-14,420000813,value-42-16,value-42-17,value-42-18,value-42-19
430000817,value-43-1,value-43-2,value-43-3,value-43-4,430000822,value-43-6,value-43-7,value-43-8,value-43-9,430000827,value-43-11,value-43-12,value-43-13,value-43-14,430000832,value-43-16,value-43-17,value-43-18,value-43-19
440000836,value-44-1,value-44-2,value-44-3,value-44-4,440000841,value-44-6,value-44-7,value-44-8,value-44-9,440000846,value-44-11,value-44-12,value-44-13,value-44-14,440000851,value-44-16,value-44-17,value-44-18,value-44-19
450000855,value-45-1,value-45-2,value-45-3,value-45-4,450000860,value-45-6,value-45-7,value-45-8,value-45-9,450000865,value-45-11,value-45-12,value-45-13,value-45-14,450000870,value-45-16,value-45-17,value-45-18,value-45-19
460000874,value-46-1,value-46-2,value-46-3,value-46-4,460000879,value-46-6,value-46-7,value-46-8,value-46-9,460000884,value-46-11,value-46-12,value-46-13,value-46-14,460000889,value-46-16,value-46-17,value-46-18,value-46-19
470000893,value-47-1,value-47-2,value-47-3,value-47-4,470000898,value-47-6,value-47-7,value-47-8,value-47-9,470000903,value-47-11,value-47-12,value-47-13,value-47-14,470000908,value-47-16,value-47-17,value-47-18,value-47-19
480000912,value-48-1,value-48-2,value-48-3,value-48-4,480000917,value-48-6,value-48-7,value-48-8,value-48-9,480000922,value-48-11,value-48-12,value-48-13,value-48-14,480000927,value-48-16,value-48-17,value-48-18,value-48-19
490000931,value-49-1,value-49-2,value-49-3,value-49-4,490000936,value-49-6,value-49-7,value-49-8,value-49-9,490000941,value-49-11,value-49-12,value-49-13,value-49-14,490000946,value-49-16,value-49-17,value-49-18,value-49-19
500000950,value-50-1,value-50-2,value-50-3,value-50-4,500000955,value-50-6,value-50-7,value-50-8,value-50-9,500000960,value-50-11,value-50-12,value-50-13,value-50-14,500000965,value-50-16,value-50-17,value-50-18,value-50-19
510000969,value-51-1,value-51-2,value-51-3,value-51-4,510000974,value-51-6,value-51-7,value-51-8,value-51-9,510000979,value-51-11,value-51-12,value-51-13,value-51-14,510000984,value-51-16,value-51-17,value-51-18,value-51-19
520000988,value-52-1,value-52-2,value-52-3,value-52-4,520000993,value-52-6,value-52-7,value-52-8,value-52-9,520000998,value-52-11,value-52-12,value-52-13,value-52-14,520001003,value-52-16,value-52-17,value-52-18,value-52-19
530001007,value-53-1,value-53-2,value-53-3,value-53-4,530001012,value-53-6,value-53-7,value-53-8,value-53-9,530001017,value-53-11,value-53-12,value-53-13,value-53-14,530001022,value-53-16,value-53-17,value-53-18,value-53-19
540001026,value-54-1,value-54-2,value-54-3,value-54-4,540001031,value-54-6,value-54-7,value-54-8,value-54-9,540001036,value-54-11,value-54-12,value-54-13,value-54-14,540001041,value-54-16,value-54-17,value-54-18,value-54-19
550001045,value-55-1,value-55-2,value-55-3,value-55-4,550001050,value-55-6,value-55-7,value-55-8,value-55-9,550001055,value-55-11,value-55-12,value-55-13,value-55-14,550001060,value-55-16,value-55-17,value-55-18,value-55-19
560001064,value-56-1,value-56-2,value-56-3,value-56-4,560001069,value-56-6,value-56-7,value-56-8,value-56-9,560001074,value-56-11,value-56-12,value-56-13,value-56-14,560001079,value-56-16,value-56-17,value-56-18,value-56-19
570001083,value-57-1,value-57-2,value-57-3,value-57-4,570001088,value-57-6,value-57-7,value-57-8,value-57-9,570001093,value-57-11,value-57-12,value-57-13,value-57-14,570001098,value-57-16,value-57-17,value-57-18,value-57-19
580001102,value-58-1,value-58-2,value-58-3,value-58-4,580001107,value-58-6,value-58-7,value-58-8,value-58-9,580001112,value-58-11,value-58-12,value-58-13,value-58-14,580001117,value-58-16,value-58-17,value-58-18,value-58-19
590001121,value-59-1,value-59-2,value-59-3,value-59-4,590001126,value-59-6,value-59-7,value-59-8,value-59-9,590001131,value-59-11,value-59-12,value-59-13,value-59-14,590001136,value-59-16,value-59-17,value-59-18,value-59-19
600001140,value-60-1,value-60-2,value-60-3,value-60-4,600001145,value-60-6,value-60-7,value-60-8,value-60-9,600001150,value-60-11,value-60-12,value-60-13,value-60-14,600001155,value-60-16,value-60-17,value-60-18,value-60-19
610001159,value-61-1,value-61-2,value-61-3,value-61-4,610001164,value-61-6,value-61-7,value-61-8,value-61-9,610001169,value-61-11,value-61-12,value-61-13,value-61-14,610001174,value-61-16,value-61-17,value-61-18,value-61-19
620001178,value-62-1,value-62-2,value-62-3,value-62-4,620001183,value-62-6,value-62-7,value-62-8,value-62-9,620001188,value-62-11,value-62-12,value-62-13,value-62-14,620001193,value-62-16,value-62-17,value-62-18,value-62-19
630001197,value-63-1,value-63-2,value-63-3,value-63-4,630001202,value-63-6,value-63-7,value-63-8,value-63-9,630001207,value-63-11,value-63-12,value-63-13,value-63-14,630001212,value-63-16,value-63-17,value-63-18,value-63-19
640001216,value-64-1,value-64-2,value-64-3,value-64-4,640001221,value-64-6,value-64-7,value-64-8,value-64-9,640001226,value-64-11,value-64-12,value-64-13,value-64-14,640001231,value-64-16,value-64-17,value-64-18,value-64-19
650001235,value-65-1,value-65-2,value-65-3,value-65-4,650001240,value-65-6,value-65-7,value-65-8,value-65-9,650001245,value-65-11,value-65-12,value-65-13,value-65-14,650001250,value-65-16,value-65-17,value-65-18,value-65-19
660001254,value-66-1,value-66-2,value-66-3,value-66-4,660001259,value-66-6,value-66-7,value-66-8,value-66-9,660001264,value-66-11,value-66-12,value-66-13,value-66-14,660001269,value-66-16,value-66-17,value-66-18,value-66-19
670001273,value-67-1,value-67-2,value-67-3,value-67-4,670001278,value-67-6,value-67-7,value-67-8,value-67-9,670001283,value-67-11,value-67-12,value-67-13,value-67-14,670001288,value-67-16,value-67-17,value-67-18,value-67-19
680001292,value-68-1,value-68-2,value-68-3,value-68-4,680001297,value-68-6,value-68-7,value-68-8,value-68-9,680001302,value-68-11,value-68-12,value-68-13,value-68-14,680001307,value-68-16,value-68-17,value-68-18,value-68-19
690001311,value-69-1,value-69-2,value-69-3,value-69-4,690001316,value-69-6,value-69-7,value-69-8,value-69-9,690001321,value-69-11,value-69-12,value-69-13,value-69-14,690001326,value-69-16,value-69-17,value-69-18,value-69-19
700001330,value-70-1,value-70-2,value-70-3,value-70-4,700001335,value-70-6,value-70-7,value-70-8,value-70-9,700001340,value-70-11,value-70-12,value-70-13,value-70-14,700001345,value-70-16,value-70-17,value-70-18,value-70-19
710001349,value-71-1,value-71-2,value-71-3,value-71-4,710001354,value-71-6,value-71-7,value-71-8,value-71-9,710001359,value-71-11,value-71-12,value-71-13,value-71-14,710001364,value-71-16,value-71-17,value-71-18,value-71-19
720001368,value-72-1,value-72-2,value-72-3,value-72-4,720001373,value-72-6,value-72-7,value-72-8,value-72-9,720001378,value-72-11,value-72-12,value-72-13,value-72-14,720001383,value-72-16,value-72-17,value-72-18,value-72-19
730001387,value-73-1,value-73-2,value-73-3,value-73-4,730001392,value-73-6,value-73-7,value-73-8,value-73-9,730001397,value-73-11,value-73-12,value-73-13,value-73-14,730001402,value-73-16,value-73-17,value-73-18,value-73-19
740001406,value-74-1,value-74-2,value-74-3,value-74-4,740001411,value-74-6,value-74-7,value-74-8,value-74-9,740001416,value-74-11,value-74-12,value-74-13,value-74-14,740001421,value-74-16,value-74-17,value-74-18,value-74-19
750001425,value-75-1,value-75-2,value-75-3,value-75-4,750001430,value-75-6,value-75-7,value-75-8,value-75-9,750001435,value-75-11,value-75-12,value-75-13,value-75-14,750001440,value-75-16,value-75-17,value-75-18,value-75-19
760001444,value-76-1,value-76-2,value-76-3,value-76-4,760001449,value-76-6,value-76-7,value-76-8,value-76-9,760001454,value-76-11,value-76-12,value-76-13,value-76-14,760001459,value-76-16,value-76-17,value-76-18,value-76-19
770001463,value-77-1,value-77-2,value-77-3,value-77-4,770001468,value-77-6,value-77-7,value-77-8,value-77-9,770001473,value-77-11,value-77-12,value-77-13,value-77-14,770001478,value-77-16,value-77-17,value-77-18,value-77-19
780001482,value-78-1,value-78-2,value-78-3,value-78-4,780001487,value-78-6,value-78-7,value-78-8,value-78-9,780001492,value-78-11,value-78-12,value-78-13,value-78-14,780001497,value-78-16,value-78-17,value-78-18,value-78-19
790001501,value-79-1,value-79-2,value-79-3,value-79-4,790001506,value-79-6,value-79-7,value-79-8,value-79-9,790001511,value-79-11,value-79-12,value-79-13,value-79-14,790001516,value-79-16,value-79-17,value-79-18,value-79-19
800001520,value-80-1,value-80-2,value-80-3,value-80-4,800001525,value-80-6,value-80-7,value-80-8,value-80-9,800001530,value-80-11,value-80-12,value-80-13,value-80-14,800001535,value-80-16,value-80-17,value-80-18,value-80-19
810001539,value-81-1,value-81-2,value-81-3,value-81-4,810001544,value-81-6,value-81-7,value-81-8,value-81-9,810001549,value-81-11,value-81-12,value-81-13,value-81-14,810001554,value-81-16,value-81-17,value-81-18,value-81-19
820001558,value-82-1,value-82-2,value-82-3,value-82-4,820001563,value-82-6,value-82-7,value-82-8,value-82-9,820001568,value-82-11,value-82-12,value-82-13,value-82-14,820001573,value-82-16,value-82-17,value-82-18,value-82-19
830001577,value-83-1,value-83-2,value-83-3,value-83-4,830001582,value-83-6,value-83-7,value-83-8,value-83-9,830001587,value-83-11,value-83-12,value-83-13,value-83-14,830001592,value-83-16,value-83-17,value-83-18,value-83-19
840001596,value-84-1,value-84-2,value-84-3,value-84-4,840001601,value-84-6,value-84-7,value-84-8,value-84-9,840001606,value-84-11,value-84-12,value-84-13,value-84-14,840001611,value-84-16,value-84-17,value-84-18,value-84-19
850001615,value-85-1,value-85-2,value-85-3,value-85-4,850001620,value-85-6,value-85-7,value-85-8,value-85-9,850001625,value-85-11,value-85-12,value-85-13,value-85-14,850001630,value-85-16,value-85-17,value-85-18,value-85-19
860001634,value-86-1,value-86-2,value-86-3,value-86-4,860001639,value-86-6,value-86-7,value-86-8,value-86-9,860001644,value-86-11,value-86-12,value-86-13,value-86-14,860001649,value-86-16,value-86-17,value-86-18,value-86-19
870001653,value-87-1,value-87-2,value-87-3,value-87-4,870001658,value-87-6,value-87-7,value-87-8,value-87-9,870001663,value-87-11,value-87-12,value-87-13,value-87-14,870001668,value-87-16,value-87-17,value-87-18,value-87-19
880001672,value-88-1,value-88-2,value-88-3,value-88-4,880001677,value-88-6,value-88-7,value-88-8,value-88-9,880001682,value-88-11,value-88-12,value-88-13,value-88-14,880001687,value-88-16,value-88-17,value-88-18,value-88-19
890001691,value-89-1,value-89-2,value-89-3,value-89-4,890001696,value-89-6,value-89-7,value-89-8,value-89-9,890001701,value-89-11,value-89-12,value-89-13,value-89-14,890001706,value-89-16,value-89-17,value-89-18,value-89-19
900001710,value-90-1,value-90-2,value-90-3,value-90-4,900001715,value-90-6,value-90-7,value-90-8,value-90-9,900001720,value-90-11,value-90-12,value-90-13,value-90-14,900001725,value-90-16,value-90-17,value-90-18,value-90-19
910001729,value-91-1,value-91-2,value-91-3,value-91-4,910001734,value-91-6,value-91-7,value-91-8,value-91-9,910001739,value-91-11,value-91-12,value-91-13,value-91-14,910001744,value-91-16,value-91-17,value-91-18,value-91-19
920001748,value-92-1,value-92-2,value-92-3,value-92-4,920001753,value-92-6,value-92-7,value-92-8,value-92-9,920001758,value-92-11,value-92-12,value-92-13,value-92-14,920001763,value-92-16,value-92-17,value-92-18,value-92-19
930001767,value-93-1,value-93-2,value-93-3,value-93-4,930001772,value-93-6,value-93-7,value-93-8,value-93-9,930001777,value-93-11,value-93-12,value-93-13,value-93-14,930001782,value-93-16,value-93-17,value-93-18,value-93-19
940001786,value-94-1,value-94-2,value-94-3,value-94-4,940001791,value-94-6,value-94-7,value-94-8,value-94-9,940001796,value-94-11,value-94-12,value-94-13,value-94-14,940001801,value-94-16,value-94-17,value-94-18,value-94-19
950001805,value-95-1,value-95-2,value-95-3,value-95-4,950001810,value-95-6,value-95-7,value-95-8,value-95-9,950001815,value-95-11,value-95-12,value-95-13,value-95-14,950001820,value-95-16,value-95-17,value-95-18,value-95-19
960001824,value-96-1,value-96-2,value-96-3,value-96-4,960001829,value-96-6,value-96-7,value-96-8,value-96-9,960001834,value-96-11,value-96-12,value-96-13,value-96-14,960001839,value-96-16,value-96-17,value-96-18,value-96-19
970001843,value-97-1,value-97-2,value-97-3,value-97-4,970001848,value-97-6,value-97-7,value-97-8,value-97-9,970001853,value-97-11,value-97-12,value-97-13,value-97-14,970001858,value-97-16,value-97-17,value-97-18,value-97-19
980001862,value-98-1,value-98-2,value-98-3,value-98-4,980001867,value-98-6,value-98-7,value-98-8,value-98-9,980001872,value-98-11,value-98-12,value-98-13,value-98-14,980001877,value-98-16,value-98-17,value-98-18,value-98-19
990001881,value-99-1,value-99-2,value-99-3,value-99-4,990001886,value-99-6,value-99-7,value-99-8,value-99-9,990001891,value-99-11,value-99-12,value-99-13,value-99-14,990001896,value-99-16,value-99-17,value-99-18,value-99-19
1000001900,value-100-1,value-100-2,value-100-3,value-100-4,1000001905,value-100-6,value-100-7,value-100-8,value-100-9,1000001910,value-100-11,value-100-12,value-100-13,value-100-14,1000001915,value-100-16,value-100-17,value-100-18,value-100-19
1010001919,value-101-1,,value-101-3,value-101-4,1010001924,value-101-6,value-101-7,value-101-8,value-101-9,1010001929,value-101-11,value-101-12,value-101-13,value-101-14,1010001934,value-101-16,value-101-17,value-101-18,value-101-19
1020001938,value-102-1,value-102-2,value-102-3,value-102-4,1020001943,value-102-6,value-102-7,value-102-8,value-102-9,1020001948,value-102-11,value-102-12,value-102-13,value-102-14,1020001953,value-102-16,value-102-17,value-102-18,value-102-19
1030001957,value-103-1,value-103-2,value-103-3,value-103-4,1030001962,value-103-6,value-103-7,value-103-8,value-103-9,1030001967,value-103-11,value-103-12,value-103-13,value-103-14,1030001972,value-103-16,value-103-17,value-103-18,value-103-19
1040001976,value-104-1,value-104-2,value-104-3,value-104-4,1040001981,value-104-6,value-104-7,value-104-8,value-104-9,1040001986,value-104-11,value-104-12,value-104-13,value-104-14,1040001991,value-104-16,value-104-17,value-104-18,value-104-19
1050001995,value-105-1,value-105-2,value-105-3,value-105-4,1050002000,value-105-6,value-105-7,value-105-8,value-105-9,1050002005,value-105-11,value-105-12,value-105-13,value-105-14,1050002010,value-105-16,value-105-17,value-105-18,value-105-19
1060002014,value-106-1,value-106-2,value-106-3,value-106-4,1060002019,value-106-6,value-106-7,value-106-8,value-106-9,1060002024,value-106-11,value-106-12,value-106-13,value-106-14,1060002029,value-106-16,value-106-17,value-106-18,value-106-19
1070002033,value-107-1,value-107-2,value-107-3,value-107-4,1070002038,value-107-6,value-107-7,value-107-8,value-107-9,1070002043,value-107-11,value-107-12,value-107-13,value-107-14,1070002048,value-107-16,value-107-17,value-107-18,value-107-19
1080002052,value-108-1,value-108-2,value-108-3,value-108-4,1080002057,value-108-6,value-108-7,value-108-8,value-108-9,1080002062,value-108-11,value-108-12,value-108-13,value-108-14,1080002067,value-108-16,value-108-17,value-108-18,value-108-19
1090002071,value-109-1,value-109-2,value-109-3,value-109-4,1090002076,value-109-6,value-109-7,value-109-8,value-109-9,1090002081,value-109-11,value-109-12,value-109-13,value-109-14,1090002086,value-109-16,value-109-17,value-109-18,value-109-19
1100002090,value-110-1,value-110-2,value-110-3,value-110-4,1100002095,value-110-6,value-110-7,value-110-8,value-110-9,1100002100,value-110-11,value-110-12,value-110-13,value-110-14,1100002105,value-110-16,value-110-17,value-110-18,value-110-19
1110002109,value-111-1,value-111-2,value-111-3,value-111-4,1110002114,value-111-6,value-111-7,value-111-8,value-111-9,1110002119,value-111-11,value-111-12,value-111-13,value-111-14,1110002124,value-111-16,value-111-17,value-111-18,value-111-19
1120002128,value-112-1,value-112-2,value-112-3,value-112-4,1120002133,value-112-6,value-112-7,value-112-8,value-112-9,1120002138,value-112-11,value-112-12,value-112-13,value-112-14,1120002143,value-112-16,value-112-17,value-112-18,value-112-19
1130002147,value-113-1,value-113-2,value-113-3,value-113-4,1130002152,value-113-6,value-113-7,value-113-8,value-113-9,1130002157,value-113-11,value-113-12,value-113-13,value-113-14,1130002162,value-113-16,value-113-17,value-113-18,value-113-19
1140002166,value-114-1,value-114-2,value-114-3,value-114-4,1140002171,value-114-6,value-114-7,value-114-8,value-114-9,1140002176,value-114-11,value-114-12,value-114-13,value-114-14,1140002181,value-114-16,value-114-17,value-114-18,value-114-19
1150002185,value-115-1,value-115-2,value-115-3,value-115-4,1150002190,value-115-6,value-115-7,value-115-8,value-115-9,1150002195,value-115-11,value-115-12,value-115-13,value-115-14,1150002200,value-115-16,value-115-17,value-115-18,value-115-19
1160002204,value-116-1,value-116-2,value-116-3,value-116-4,1160002209,value-116-6,value-116-7,value-116-8,value-116-9,1160002214,value-116-11,value-116-12,value-116-13,value-116-14,1160002219,value-116-16,value-116-17,value-116-18,value-116-19
1170002223,value-117-1,value-117-2,value-117-3,value-117-4,1170002228,value-117-6,value-117-7,value-117-8,value-117-9,1170002233,value-117-11,value-117-12,value-117-13,value-117-14,1170002238,value-117-16,value-117-17,value-117-18,value-117-19
1180002242,value-118-1,value-118-2,value-118-3,value-118-4,1180002247,value-118-6,value-118-7,value-118-8,value-118-9,1180002252,value-118-11,value-118-12,value-118-13,value-118-14,1180002257,value-118-16,value-118-17,value-118-18,value-118-19
1190002261,value-119-1,value-119-2,value-119-3,value-119-4,1190002266,value-119-6,value-119-7,value-119-8,value-119-9,1190002271,value-119-11,value-119-12,value-119-13,value-119-14,1190002276,value-119-16,value-119-17,value-119-18,value-119-19
1200002280,value-120-1,value-120-2,value-120-3,value-120-4,1200002285,value-120-6,value-120-7,value-120-8,value-120-9,1200002290,value-120-11,value-120-12,value-120-13,value-120-14,1200002295,value-120-16,value-120-17,value-120-18,value-120-19
1210002299,value-121-1,value-121-2,value-121-3,value-121-4,1210002304,value-121-6,value-121-7,value-121-8,value-121-9,1210002309,value-121-11,value-121-12,value-121-13,value-121-14,1210002314,value-121-16,value-121-17,value-121-18,value-121-19
